tree,name,pid,VmRSS,VmSwap,VmSize,VmHWM,VmPeak,VmRSS+VmSwap,VmRSS_sum,VmSwap_sum,VmSize_sum,VmHWM_sum,VmPeak_sum,VmRSS+VmSwap_sum
     |   \__mongod_______________________________,mongod,5909,335994880,3538944,1429377024,353116160,1429377024,339533824,335994880,3538944,1429377024,353116160,1429377024,339533824
     |__beam.smp_________________________________,beam.smp,5713,76709888,0,3292368896,81489920,3324448768,76709888,79986688,0,3299926016,84766720,3332042752,79986688
     |   \__erl_child_setup______________________,erl_child_setup,5815,1228800,0,1982464,1228800,1982464,1228800,3276800,0,7557120,3276800,7593984,3276800
     |       \__inet_gethost_____________________,inet_gethost,6154,557056,0,2715648,557056,2715648,557056,2048000,0,5574656,2048000,5611520,2048000
     |           \__inet_gethost_________________,inet_gethost,6155,1490944,0,2859008,1490944,2895872,1490944,1490944,0,2859008,1490944,2895872,1490944
     |__cron_____________________________________,cron,7012,2031616,102400,3772416,2134016,3809280,2134016,2031616,102400,3772416,2134016,3809280,2134016
     |__dbus-daemon______________________________,dbus-daemon,1355,4198400,0,8269824,4517888,8802304,4198400,4198400,0,8269824,4517888,8802304,4198400
     |__dns-cache-db_____________________________,dns-cache-db,3974,8196096,1499136,23293952,9732096,23293952,9695232,8196096,1499136,23293952,9732096,23293952,9695232
     |__earlyoom_________________________________,earlyoom,1363,462848,0,1994752,462848,1994752,462848,462848,0,1994752,462848,1994752,462848
     |__epmd_____________________________________,epmd,5670,4505600,163840,8179712,4648960,8179712,4669440,4505600,163840,8179712,4648960,8179712,4669440
     |__hciattach________________________________,hciattach,1727,94208,0,2158592,94208,2158592,94208,94208,0,2158592,94208,2158592,94208
     |__java_____________________________________,java,1322320,813314048,634880,4434051072,831967232,4568092672,813948928,813314048,634880,4434051072,831967232,4568092672,813948928
     |__lagd_____________________________________,lagd,1661,2342912,0,282374144,3170304,282374144,2342912,2342912,0,282374144,3170304,282374144,2342912
     |__linkcheck________________________________,linkcheck,1365,7524352,188416,21327872,7598080,21364736,7712768,7524352,188416,21327872,7598080,21364736,7712768
     |__mcad_____________________________________,mcad,4148,19083264,729088,136617984,20205568,194519040,19812352,19083264,729088,136617984,20205568,194519040,19812352
     |__networkd-dispat__________________________,networkd-dispat,1376,11829248,4288512,29310976,18509824,29310976,16117760,11829248,4288512,29310976,18509824,29310976,16117760
     |__nginx____________________________________,nginx,5677,13037568,1384448,20504576,15720448,22753280,14422016,79581184,5332992,123047936,83566592,125296640,84914176
     |   |__nginx________________________________,nginx,1324093,14073856,630784,20508672,14196736,20508672,14704640,14073856,630784,20508672,14196736,20508672,14704640
     |   |__nginx________________________________,nginx,1324094,14135296,753664,20508672,14295040,20508672,14888960,14135296,753664,20508672,14295040,20508672,14888960
     |   |__nginx________________________________,nginx,1324095,14139392,643072,20508672,14254080,20508672,14782464,14139392,643072,20508672,14254080,20508672,14782464
     |   |__nginx________________________________,nginx,1324096,14426112,540672,20508672,14520320,20508672,14966784,14426112,540672,20508672,14520320,20508672,14966784
     |   \__nginx________________________________,nginx,1324097,9768960,1380352,20508672,10579968,20508672,11149312,9768960,1380352,20508672,10579968,20508672,11149312
     |__node22___________________________________,node22,6529,189915136,18153472,15614517248,246939648,15620706304,208068608,201547776,18153472,15641800704,258572288,15648026624,219701248
     |   \__sudo_________________________________,sudo,3790502,4333568,0,9932800,4333568,9969664,4333568,11632640,0,27283456,11632640,27320320,11632640
     |       \__ubnt-systool_____________________,ubnt-systool,3790507,3334144,0,4431872,3334144,4431872,3334144,7299072,0,17350656,7299072,17350656,7299072
     |           \__ubnt-systool_________________,ubnt-systool,3790512,2101248,0,4431872,2101248,4431872,2101248,3964928,0,12918784,3964928,12918784,3964928
     |               \__run-parts________________,run-parts,3790513,430080,0,1982464,430080,1982464,430080,1863680,0,8486912,1863680,8486912,1863680
     |                   \__002-system-memo______,002-system-memo,3790744,491520,0,2101248,491520,2101248,491520,1433600,0,6504448,1433600,6504448,1433600
     |                       \__ubnt-proc-pid-s__,ubnt-proc-pid-s,3790749,479232,0,2101248,479232,2101248,479232,942080,0,4403200,942080,4403200,942080
     |                           \__xargs________,xargs,3790751,462848,0,2301952,462848,2301952,462848,462848,0,2301952,462848,2301952,462848
     |__postgres_________________________________,postgres,5918,15249408,1454080,215691264,25350144,215728128,16703488,217137152,36098048,3552518144,259817472,3706564608,253235200
     |   |__postgres_____________________________,postgres,5931,9474048,1462272,215822336,10416128,215855104,10936320,9474048,1462272,215822336,10416128,215855104,10936320
     |   |__postgres_____________________________,postgres,1033403,15527936,1286144,217706496,15527936,217706496,16814080,15527936,1286144,217706496,15527936,217706496,16814080
     |   |__postgres_____________________________,postgres,1092725,21827584,2064384,219684864,24989696,220110848,23891968,21827584,2064384,219684864,24989696,220110848,23891968
     |   |__postgres_____________________________,postgres,1283590,23048192,1527808,219828224,23609344,220102656,24576000,23048192,1527808,219828224,23609344,220102656,24576000
     |   |__postgres_____________________________,postgres,2639409,15474688,1830912,217489408,15548416,217632768,17305600,15474688,1830912,217489408,15548416,217632768,17305600
     |   |__postgres_____________________________,postgres,3205000,15675392,1286144,217706496,15675392,217706496,16961536,15675392,1286144,217706496,15675392,217706496,16961536
     |   |__postgres_____________________________,postgres,3758591,15536128,1277952,217489408,15536128,217530368,16814080,15536128,1277952,217489408,15536128,217530368,16814080
     |   |__postgres_____________________________,postgres,3758865,14401536,1277952,217518080,14401536,217526272,15679488,14401536,1277952,217518080,14401536,217526272,15679488
     |   |__postgres_____________________________,postgres,5932,5947392,1515520,215691264,6807552,215691264,7462912,5947392,1515520,215691264,6807552,215691264,7462912
     |   |__postgres_____________________________,postgres,5933,4591616,1536000,215691264,9486336,215691264,6127616,4591616,1536000,215691264,9486336,215691264,6127616
     |   |__postgres_____________________________,postgres,5934,6680576,1667072,216403968,8388608,216403968,8347648,6680576,1667072,216403968,8388608,216403968,8347648
     |   |__postgres_____________________________,postgres,5935,4358144,1527808,67825664,5885952,215691264,5885952,4358144,1527808,67825664,5885952,215691264,5885952
     |   |__postgres_____________________________,postgres,5936,5558272,1671168,216129536,7237632,216129536,7229440,5558272,1671168,216129536,7237632,216129536,7229440
     |   |__postgres_____________________________,postgres,6158,13262848,6877184,223145984,22675456,225538048,20140032,13262848,6877184,223145984,22675456,225538048,20140032
     |   |__postgres_____________________________,postgres,6275,14917632,4464640,219521024,19685376,221626368,19382272,14917632,4464640,219521024,19685376,221626368,19382272
     |   \__postgres_____________________________,postgres,6276,15605760,3371008,219172864,18595840,219893760,18976768,15605760,3371008,219172864,18595840,219893760,18976768
     |__rpsd_____________________________________,rpsd,1392,5959680,319488,17170432,6348800,17170432,6279168,5959680,319488,17170432,6348800,17170432,6279168
     |__syslog-ng________________________________,syslog-ng,5692,47661056,4096,417366016,53293056,471179264,47665152,47661056,4096,417366016,53293056,471179264,47665152
     |__systemd-journal__________________________,systemd-journal,539,18550784,491520,52588544,26144768,67325952,19042304,18550784,491520,52588544,26144768,67325952,19042304
     |__systemd-logind___________________________,systemd-logind,1416,6483968,0,14565376,6516736,14569472,6483968,6483968,0,14565376,6516736,14569472,6483968
     |__systemd-network__________________________,systemd-network,594,5406720,8192,17440768,7176192,17440768,5414912,5406720,8192,17440768,7176192,17440768,5414912
     |__systemd-timesyn__________________________,systemd-timesyn,1337,6107136,4096,90206208,6189056,156839936,6111232,6107136,4096,90206208,6189056,156839936,6111232
     |__systemd-udevd____________________________,systemd-udevd,573,4149248,0,19214336,4673536,19214336,4149248,4149248,0,19214336,4673536,19214336,4149248
     |__ubios-udapi-ser__________________________,ubios-udapi-ser,1778,40001536,3203072,371228672,41177088,428503040,43204608,669523968,15581184,8186699776,731480064,8514158592,685105152
     |   |__Suricata-Main________________________,Suricata-Main,3339961,493174784,4837376,863453184,500912128,863453184,498012160,493174784,4837376,863453184,500912128,863453184,498012160
     |   |__avahi-daemon_________________________,avahi-daemon,2768,3391488,217088,7524352,3637248,7725056,3608576,3440640,479232,14569472,3948544,14770176,3919872
     |   |   \__avahi-daemon_____________________,avahi-daemon,2774,49152,262144,7045120,311296,7045120,311296,49152,262144,7045120,311296,7045120,311296
     |   |__dnsmasq______________________________,dnsmasq,4090,3846144,172032,7987200,4202496,8024064,4018176,6594560,344064,15974400,7122944,16011264,6938624
     |   |   \__dnsmasq__________________________,dnsmasq,4092,2748416,172032,7987200,2920448,7987200,2920448,2748416,172032,7987200,2920448,7987200,2920448
     |   |__dnsmasq______________________________,dnsmasq,4156146,3661824,315392,7987200,4055040,8024064,3977216,3661824,315392,7987200,4055040,8024064,3977216
     |   |__dpi-flow-stats_______________________,dpi-flow-stats,2521,40218624,1110016,472838144,42184704,474632192,41328640,40218624,1110016,472838144,42184704,474632192,41328640
     |   |__dpinger______________________________,dpinger,2110763,724992,0,35930112,724992,35930112,724992,724992,0,35930112,724992,35930112,724992
     |   |__dpinger______________________________,dpinger,3779927,765952,0,35930112,765952,35930112,765952,765952,0,35930112,765952,35930112,765952
     |   |__dpinger______________________________,dpinger,4156251,720896,81920,35930112,741376,35930112,802816,720896,81920,35930112,741376,35930112,802816
     |   |__dpinger______________________________,dpinger,4156439,716800,86016,44322816,794624,44359680,802816,716800,86016,44322816,794624,44359680,802816
     |   |__dpinger______________________________,dpinger,4156445,692224,73728,44322816,757760,44359680,765952,692224,73728,44322816,757760,44359680,765952
     |   |__dpinger______________________________,dpinger,4156451,675840,69632,35930112,737280,35930112,745472,675840,69632,35930112,737280,35930112,745472
     |   |__dpinger______________________________,dpinger,4156452,671744,77824,35930112,741376,35930112,749568,671744,77824,35930112,741376,35930112,749568
     |   |__lldpd________________________________,lldpd,2762,3489792,757760,19099648,5550080,19136512,4247552,5697536,1511424,38326272,8900608,38371328,7208960
     |   |   \__lldpd____________________________,lldpd,2787,2207744,753664,19226624,3350528,19234816,2961408,2207744,753664,19226624,3350528,19234816,2961408
     |   |__redirector___________________________,redirector,4031,7581696,1404928,172466176,9023488,239575040,8986624,7581696,1404928,172466176,9023488,239575040,8986624
     |   |__snoopd_______________________________,snoopd,2758,1216512,315392,6352896,1454080,6352896,1531904,1216512,315392,6352896,1454080,6352896,1531904
     |   |__teleportd____________________________,teleportd,3699,5849088,249856,2017988608,10276864,2085097472,6098944,5849088,249856,2017988608,10276864,2085097472,6098944
     |   |__ubnt-idsips-dae______________________,ubnt-idsips-dae,2751,19550208,1257472,1269456896,48975872,1269456896,20807680,19550208,1257472,1269456896,48975872,1269456896,20807680
     |   |__udhcpc_______________________________,udhcpc,4156138,1630208,12288,2039808,1662976,2076672,1642496,1630208,12288,2039808,1662976,2076672,1642496
     |   |__unifi-mq-broker______________________,unifi-mq-broker,2407554,19116032,0,1273593856,22753280,1273593856,19116032,19116032,0,1273593856,22753280,1273593856,19116032
     |   |__utmdaemon____________________________,utmdaemon,3003,6860800,135168,385130496,7290880,451764224,6995968,6860800,135168,385130496,7290880,451764224,6995968
     |   |__wifiman-proxy________________________,wifiman-proxy,2537774,7933952,16384,725647360,11800576,725647360,7950336,7933952,16384,725647360,11800576,725647360,7950336
     |   \__wifiman-speedte______________________,wifiman-speedte,2537775,2027520,0,281350144,4677632,348459008,2027520,2027520,0,281350144,4677632,348459008,2027520
     |__ubnd_____________________________________,ubnd,571,1552384,0,5328896,1593344,5328896,1552384,1552384,0,5328896,1593344,5328896,1552384
     |__ubnt_monitor_____________________________,ubnt_monitor,6918,9691136,233472,1265434624,13824000,1265434624,9924608,9691136,233472,1265434624,13824000,1265434624,9924608
     |__udapi-bridge_____________________________,udapi-bridge,4017,6582272,1191936,23064576,7905280,23101440,7774208,18763776,2539520,199962624,22093824,264486912,21303296
     |   \__exe__________________________________,exe,4080,12181504,1347584,176898048,14188544,241385472,13529088,12181504,1347584,176898048,14188544,241385472,13529088
     |__uhwd_____________________________________,uhwd,639,19841024,774144,257437696,21262336,257437696,20615168,19841024,774144,257437696,21262336,257437696,20615168
     |__ulcmd____________________________________,ulcmd,1433,6508544,913408,401616896,14774272,468348928,7421952,6508544,913408,401616896,14774272,468348928,7421952
     |__ulogd____________________________________,ulogd,2407568,32964608,3223552,38338560,35069952,38342656,36188160,32964608,3223552,38338560,35069952,38342656,36188160
     |__ulp-go-app_______________________________,ulp-go-app,6265,64000000,1134592,788844544,107905024,788844544,65134592,64000000,1134592,788844544,107905024,788844544,65134592
     |__unifi-directory__________________________,unifi-directory,6134,31440896,643072,852180992,53522432,852180992,32083968,31440896,643072,852180992,53522432,852180992,32083968
     |__unifi-identity-__________________________,unifi-identity-,6091,9093120,258048,741126144,17539072,741126144,9351168,9093120,258048,741126144,17539072,741126144,9351168
     |__unifi-mongo-ser__________________________,unifi-mongo-ser,5911,1945600,397312,4034560,2478080,4034560,2342912,2420736,397312,6033408,2953216,6033408,2818048
     |   \__sleep________________________________,sleep,3785612,475136,0,1998848,475136,1998848,475136,475136,0,1998848,475136,1998848,475136
     |__uos-agent________________________________,uos-agent,5705,20054016,5894144,711774208,24317952,711856128,25948160,20054016,5894144,711774208,24317952,711856128,25948160
     |__usd______________________________________,usd,645,34848768,3125248,817176576,47493120,817176576,37974016,34848768,3125248,817176576,47493120,817176576,37974016
     |__usdbd____________________________________,usdbd,586,11026432,5292032,26087424,16580608,26087424,16318464,11026432,5292032,26087424,16580608,26087424,16318464
     |__ustated__________________________________,ustated,724,10137600,196608,2099707904,18378752,2099707904,10334208,10137600,196608,2099707904,18378752,2099707904,10334208
     \__utermd___________________________________,utermd,1444,9428992,4096,24702976,10121216,24702976,9433088,9428992,4096,24702976,10121216,24702976,9433088
