timestamp,20250720040609,20250906062501
MemTotal,4040828
MemFree,132268
MemAvailable,1147744
Buffers,180740
Cached,944348
SwapCached,1812
Active,1886516
Inactive,1308996
Active(anon),1245136
Inactive(anon),877524
Active(file),641380
Inactive(file),431472
Unevictable,1372
Mlocked,1372
SwapTotal,7071448
SwapFree,7015896
Dirty,348
Writeback,0
AnonPages,2068704
Mapped,245288
Shmem,59452
Slab,244068
SReclaimable,125616
SUnreclaim,118452
KernelStack,13424
PageTables,13972
NFS_Unstable,0
Bounce,0
WritebackTmp,0
CommitLimit,9091860
Committed_AS,6018236
VmallocTotal,263061440
VmallocUsed,0
VmallocChunk,0
Percpu,4160
AnonHugePages,4096
ShmemHugePages,0
ShmemPmdMapped,0
HugePages_Total,0
HugePages_Free,0
HugePages_Rsvd,0
HugePages_Surp,0
Hugepagesize,2048
Hugetlb,0
cmdline,comm,pid,ppid,VmSize,VmRSS,VmSwap
/usr/bin/dpinger-f-ieth8-mon12-96.6.17.223-www.microsoft.com-B62.249.184.112-Ieth8-m0x001a0000-s10s-d1-t30s-u/run/eth8-mon12-96.6.17.223-www.microsoft.com.sock96.6.17.223,dpinger,2044244,1778,34,0,0
/usr/bin/dpinger-f-ieth8-mon13-142.250.74.14-google.com-B62.249.184.112-Ieth8-m0x001a0000-s10s-d1-t30s-u/run/eth8-mon13-142.250.74.14-google.com.sock142.250.74.14,dpinger,1494972,1778,34,0,0
/usr/bin/python3/usr/bin/networkd-dispatcher--run-startup-triggers,networkd-dispat,1376,1,27,14,0
/usr/sbin/usdbd-j,usdbd,586,1,24,13,2
/sbin/utermd,utermd,1444,1,23,9,0
/usr/bin/dns-cache-db,dns-cache-db,3974,1,22,8,0
/usr/bin/udapi-bridge--watchdog--rest-api-port1080--rest-api-secure-port0--rest-api-interfacelo,udapi-bridge,4017,1,21,6,1
/usr/bin/linkcheck,linkcheck,1365,1,20,7,0
nginx: master process /usr/sbin/nginx -c /etc/nginx/nginx.conf,nginx,5677,1,19,12,1
nginx: cache manager process,nginx,2806804,5677,19,9,1
